iter	Passed	Remaining
0	4	443
1	8	414
2	13	426
3	16	394
4	20	387
5	24	381
6	25	344
7	27	316
8	29	294
9	30	275
10	32	260
11	33	247
12	35	235
13	36	225
14	38	219
15	40	214
16	42	207
17	44	200
18	45	194
19	47	188
20	48	182
21	50	177
22	51	174
23	53	168
24	54	163
25	55	157
26	56	152
27	57	147
28	58	142
29	59	138
30	60	134
31	61	130
32	62	126
33	63	122
34	63	118
35	64	115
36	65	112
37	66	108
38	67	105
39	68	102
40	69	99
41	69	96
42	70	93
43	71	90
44	72	88
45	73	85
46	73	83
47	74	81
48	75	78
49	76	76
50	77	74
51	78	72
52	79	70
53	80	68
54	80	66
55	81	64
56	82	62
57	83	60
58	84	58
59	85	56
60	86	55
61	86	53
62	87	51
63	88	49
64	89	48
65	90	46
66	91	44
67	92	43
68	93	41
69	93	40
70	94	38
71	95	37
72	96	35
73	97	34
74	98	32
75	99	31
76	100	29
77	100	28
78	101	27
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	18
85	108	17
86	109	16
87	110	15
88	110	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	116	4
96	117	3
97	118	2
98	119	1
99	121	0
